,značka,středisko,položka,částka,podáno,proplaceno,redmine,popis
0,FO 1/2018,kralovehradecko,220900001,-6993.00,2018-01-10,,https://redmine.pirati.cz/issues/9543,Grafické práce
1,FO 2/2018,kralovehradecko,220900909,-6993.00,2018-01-10,2018-01-11,,plakátové grafické práce
2,FO 3/2018,jiznicechy,221200909,-75000.00,2018-01-10,2018-01-10,https://redmine.pirati.cz/issues/9166,záloha (3x nájem) + nájem leden a únor
3,FO 4/2018,strana,212600001,-37400.00,2018-01-18,2018-01-28,,Doplatek za pronájem prostor
4,FO 5/2018,strana,212600001,-5652.00,2018-01-18,2018-01-28,,Tisk dokumentových sloh na CF 2018
5,FO 6/2018,strana,212600001,-16000.00,2018-01-18,2018-01-28,,Pronájem klubu Fleda - CF 2018
6,FO 7/2018,strana,212600001,-2033.00,2018-01-18,2018-01-28,,Tisk nálepek - CF 2018
7,FO 8/2018,vysocina,220700403,-11644.00,2018-01-18,2018-01-19,,Nájemné JiPiCe 01/2018
8,FO 9/2018,karlovarsko,220200909,-12000.00,2018-01-18,2018-01-20,https://redmine.pirati.cz/issues/9245,e-PIC KvK - nájem 1_2018
9,FO 10/2018,karlovarsko,220200909,-3000.00,2018-01-19,2018-01-20,https://redmine.pirati.cz/issues/9246,VyOsení K. Vary 1/2018 - Definitivní Ententýk
10,FO 11/2018,karlovarsko,220200909,-1000.00,2018-01-19,2018-01-20,https://redmine.pirati.cz/issues/9247,e-PIC KvK - záloha na plyn 1_2018
11,FO 12/2018,karlovarsko,220200909,-2000.00,2018-01-19,2018-01-20,https://redmine.pirati.cz/issues/9248,VyOsení K. Vary 1/2018 - Lemmingway
12,FO 13/2018,strana,213000001,-6243.60,2018-01-20,2018-01-20,https://redmine.pirati.cz/issues/9259,Serverhosting Savana (rok)
13,FO 14/2018,strana,213000001,-14069.90,2018-01-20,2018-01-20,,Serverhosting Master 2018
14,FO 15/2018,karlovarsko,220200909,-2000.00,2018-01-20,2018-01-21,https://redmine.pirati.cz/issues/9263,VyOsení K. Vary 1/2018 - Horizont Událostí
15,FO 16/2018,vysocina,220700405,-1398.30,2018-01-22,2018-01-22,,Občerstvení
16,FO 17/2018,vysocina,220700404,-697.30,2018-01-22,2018-01-23,,Hygienické a kuchyňské vybavení na akci Otevřené dveře
17,FO 18/2018,vysocina,220700001,-1469.40,2018-01-22,2018-02-03,,Cestovné 01/18
18,FO 19/2018,strana,212600001,-2455.00,2018-01-22,2018-01-22,https://redmine.pirati.cz/issues/9260,Tisk materiálů do sloh
19,FO 20/2018,strana,212600001,-315.00,2018-01-22,2018-01-22,,Jmenovky - papíry
20,FO 21/2018,strana,212600001,-1400.00,2018-01-22,2018-01-22,,Jmenovky - nosiče
21,FO 22/2018,strana,212600001,-2000.00,2018-01-22,2018-02-11,,Grafické práce - motiv samolepky CF 2018
22,FO 23/2018,strana,212600001,-25172.00,2018-01-23,2018-01-23,https://redmine.pirati.cz/issues/9276,Zasíťování prostoru
23,FO 26/2018,jiznicechy,221200909,-780.00,2018-01-25,2018-01-25,,polepy
24,FO 27/2018,strana,212500001,-4500.00,2018-01-26,2018-01-26,,Zpracování účetních dokladů
25,FO 28/2018,strana,212600001,-753.00,2018-01-26,2018-02-11,https://redmine.pirati.cz/issues/9298,Kancelářské potřeby/CF
26,FO 29/2018,praha,220100402,-847.00,2018-01-27,2018-01-28,https://redmine.pirati.cz/issues/9305,Internet v PiCe - leden
27,FO 30/2018,praha,220100001,-32940.00,2018-01-27,2018-01-28,https://redmine.pirati.cz/issues/9306,Impact Hub
28,FO 31/2018,praha,220100402,-6958.00,2018-01-29,2018-01-29,https://redmine.pirati.cz/issues/9323,vyučtování Plynu
29,FO 32/2018,praha,220100402,-16692.00,2018-01-29,2018-01-29,https://redmine.pirati.cz/issues/9324,Vyučtování Elektřiny
30,FO 33/2018,strana,212600402,-37500.00,2018-01-29,2018-01-30,https://redmine.pirati.cz/issues/9326,"Nájem sídla strany 2,3,4/2018"
31,FO 34/2018,moravskoslezsko,220400300,-1750.00,2018-01-29,2018-01-30,https://redmine.pirati.cz/issues/9521,internet OPICE za měsíce1-5/2018
32,FO 35/2018,vysocina,220700404,-7590.00,2018-01-30,2018-01-30,,Vysavač do JiPiCe
33,FO 36/2018,zlinsko,220500001,-238.00,2018-01-30,2018-01-31,https://redmine.pirati.cz/issues/9336,Cestovné CF/Šenkýř/tam i zpět
34,FO 37/2018,strana,231180000,-5418.00,2018-01-30,,https://redmine.pirati.cz/issues/9338,PARO/Deskovky ZlK
35,FO 38/2018,moravskoslezsko,220400150,-2999.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9340,Nákup reklamních předmětů v pirátském e-shopu
36,FO 39/2018,praha,220100402,-3180.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9341,plošina do PiCe
37,FO 40/2018,praha,220100001,-100.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9343,Kredit pro datové schránky
38,FO 41/2018,zlinsko,220500001,-500.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9345,"Ubytování/Klajn/500,-"
39,FO 42/2018,zlinsko,220500001,-500.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9346,"Třos/ubytováníCF/500,-"
40,FO 43/2018,zlinsko,220500001,-270.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9347,"Marečková/UbytováníCF/270,-"
41,FO 44/2018,zlinsko,220500001,-500.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9348,Maiello/ubytování CF
42,FO 45/2018,zlinsko,220500001,-270.00,2018-01-31,2018-02-10,https://redmine.pirati.cz/issues/9349,"Martinková/ubytování CF/240,-"
43,FO 46/2018,zlinsko,220500001,-446.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9350,"Cestovné/Valášek/446,-"
44,FO 47/2018,strana,212900001,-1514.00,2018-01-31,2018-02-01,https://redmine.pirati.cz/issues/9351,cestovné Jana Rohová
45,FO 48/2018,zlinsko,220500001,-500.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9352,"Rychtar/ubytování CF/500,-"
46,FO 49/2018,zlinsko,220500001,-493.00,2018-01-31,2018-01-31,https://redmine.pirati.cz/issues/9353,CestovnéCF/Yf+Andrea+Martina+Hanka
47,FO 50/2018,vysocina,220700403,-11644.00,2018-02-01,2018-02-10,,Nájemné JiPiCe 02/2018
48,FO 51/2018,zlinsko,220500403,-29990.00,2018-02-01,2018-02-01,https://redmine.pirati.cz/issues/9364,Propagační předměty ZlK
49,FO 52/2018,praha,220100001,-1660.00,2018-02-01,2018-02-01,https://redmine.pirati.cz/issues/9367,WS k životnímu prostředí
50,FO 53/2018,praha,220100402,-847.00,2018-02-01,2018-02-01,https://redmine.pirati.cz/issues/9368,Internet v PiCe - únor
51,FO 54/2018,praha,220100001,-1200.00,2018-02-01,2018-02-02,https://redmine.pirati.cz/issues/9369,nájem rikšy
52,FO 55/2018,jiznimorava,220600401,-36000.00,2018-02-02,2018-02-02,,Záloha za služby
53,FO 56/2018,jiznimorava,220600401,-60000.00,2018-02-02,2018-02-02,,Nájemné za období 1-12/2018
54,FO 57/2018,praha,220000001,-2377.00,2018-02-04,2018-02-04,https://redmine.pirati.cz/issues/9381,tisk petic
55,FO 58/2018,praha,220000001,-4192.00,2018-02-04,2018-02-04,https://redmine.pirati.cz/issues/9382,tisk plakátů
56,FO 59/2018,olomoucko,220300001,-24800.00,2018-02-04,2018-02-06,https://redmine.pirati.cz/issues/9383,Pořízení židlí do Pircentra Olomouc
57,FO 60/2018,strana,231172001,-6621.00,2018-02-04,2018-02-05,,Nábytek a další Ikea
58,FO 61/2018,vysocina,220700404,-24599.00,2018-02-04,2018-02-05,,Židle a stůl Ikea
59,FO 62/2018,vysocina,220700404,-19104.00,2018-02-04,2018-02-05,,Router a projektor
60,FO 63/2018,moravskoslezsko,220402001,-4119.00,2018-02-05,2018-02-05,https://redmine.pirati.cz/issues/9387,Pořízení stanu
61,FO 64/2018,strana,212800001,-10000.00,2018-02-05,2018-02-07,https://redmine.pirati.cz/issues/9388,Sociální média 01/2018
62,FO 65/2018,strana,212500001,-635.00,2018-02-05,2018-02-07,https://redmine.pirati.cz/issues/9403,Cestovné M. Kučera 19. 1. 2018
63,FO 66/2018,strana,212900001,-27000.00,2018-02-05,2018-02-11,,odměna KoDo VYS 01/2018
64,FO 67/2018,strana,212900001,-23363.00,2018-02-05,2018-02-11,https://redmine.pirati.cz/issues/9408,Odměna KoDo-MSK-1/2018
65,FO 68/2018,strana,212900001,-26454.00,2018-02-05,2018-02-11,https://redmine.pirati.cz/issues/9411,odměna KoDo ZlK 01/2018
66,FO 69/2018,jiznimorava,220600401,-1307.00,2018-02-06,2018-02-06,https://redmine.pirati.cz/issues/9420,Nákup štítkovačky
67,FO 70/2018,praha,220100002,-12800.00,2018-02-06,,https://redmine.pirati.cz/issues/9427,ZRUŠENO analýza swapu
68,FO 71/2018,strana,212900001,-23363.00,2018-02-06,2018-02-11,https://redmine.pirati.cz/issues/9429,odměna KoDo Olk 01/2018
69,FO 72/2018,zlinsko,220500001,-2650.00,2018-02-06,2018-02-06,https://redmine.pirati.cz/issues/9430,Vizitky/předsednictva ZlK
70,FO 73/2018,strana,231172003,-4924.00,2018-02-06,2018-02-07,,Hry do jipice
71,FO 74/2018,strana,212900001,12780.00,2018-02-06,2018-02-11,https://redmine.pirati.cz/issues/9433,Odměna KoDo KvK 01/2018
72,FO 75/2018,strana,212900001,-21000.00,2018-02-06,2018-02-11,https://redmine.pirati.cz/issues/9436,odměna KoDo ÚsK-01/2018
73,FO 76/2018,strana,212800001,-27500.00,2018-02-07,2018-02-11,https://redmine.pirati.cz/issues/9440,odměna PR manažer 1/2018
74,FO 77/2018,strana,212900001,-6427.99,2018-02-07,2018-02-13,https://redmine.pirati.cz/issues/9441,proplácení telefonů - 1/2018
75,FO 78/2018,strana,212600001,-15000.00,2018-02-19,2018-02-19,https://redmine.pirati.cz/issues/9582,Záloha asistent CAP 02/2018
76,FO 79/2018,strana,212800001,-18904.00,2018-02-07,2018-02-11,https://redmine.pirati.cz/issues/10215,Odměna psavce za 1/2018 Jakub Dušánek
77,FO 80/2018,strana,212900001,-22045.00,2018-02-07,2018-02-11,https://redmine.pirati.cz/issues/9450,Odměna KoDo-PardK-1/2018
78,FO 81/2018,praha,220100001,-12500.00,2018-02-08,2018-02-10,https://redmine.pirati.cz/issues/9462,2 billboardy pro Libeňský most
79,FO 82/2018,strana,231172001,-6850.00,2018-02-08,2018-02-13,,Hračky a další vybavení
80,FO 83/2018,praha,220100001,-6000.00,2018-02-09,2018-02-10,https://redmine.pirati.cz/issues/9463,Záloha - Rebel Wings
81,FO 84/2018,karlovarsko,220200601,-12000.00,2018-02-09,2018-02-10,https://redmine.pirati.cz/issues/9471,e-PIC KvK - nájem 2_2018
82,FO 85/2018,karlovarsko,220200601,-5500.00,2018-02-09,2018-02-10,https://redmine.pirati.cz/issues/9472,e-PIC KvK - zálohy elektřina 2018
83,FO 86/2018,karlovarsko,220200601,-11000.00,2018-02-09,2018-02-10,https://redmine.pirati.cz/issues/9473,e-PIC KvK - zálohy plyn 2018
84,FO 87/2018,strana,212900001,-27000.00,2018-02-09,2018-02-11,https://redmine.pirati.cz/issues/9475,odměna KoDo Pha 01/2018
85,FO 88/2018,strana,212600001,-28400.00,2018-02-11,2018-02-11,https://redmine.pirati.cz/issues/9490,Odměna asistent CAP 01/2018
86,FO 89/2018,strana,213100001,-5365.00,2018-02-11,2018-02-11,,Ubytování Pisecon - 1. pokoj
87,FO 90/2018,kralovehradecko,220900130,-6425.00,2018-02-12,2018-02-12,https://redmine.pirati.cz/issues/9496,Umístění a provoz polepů na autobusy
88,FO 91/2018,kralovehradecko,220900130,-22743.16,2018-02-12,2018-02-12,https://redmine.pirati.cz/issues/9497,Propagace facebook
89,FO 92/2018,kralovehradecko,220900130,-20000.00,2018-02-12,2018-02-20,https://redmine.pirati.cz/issues/9498,Odměna Manažera
90,FO 93/2018,kralovehradecko,220900130,-1332.00,2018-02-12,2018-02-12,https://redmine.pirati.cz/issues/9499,grafické práce 2
